#name       mass  charge    H   He    C    N    O   Si    S   Fe   Na   Mg   Cl    P    F
C6-           72      -1    0    0    6    0    0    0    0    0    0    0    0    0    0
CH3CO+        43       1    3    0    2    0    1    0    0    0    0    0    0    0    0
C2H4+         28       1    4    0    2    0    0    0    0    0    0    0    0    0    0
HC3NH+        52       1    2    0    3    1    0    0    0    0    0    0    0    0    0
HC4S+         81       1    1    0    4    0    0    0    1    0    0    0    0    0    0
CH5+          17       1    5    0    1    0    0    0    0    0    0    0    0    0    0
C4H2+         50       1    2    0    4    0    0    0    0    0    0    0    0    0    0
C5H+          61       1    1    0    5    0    0    0    0    0    0    0    0    0    0
CH3CN+        41       1    3    0    2    1    0    0    0    0    0    0    0    0    0
c-C3H3+       39       1    3    0    3    0    0    0    0    0    0    0    0    0    0
l-C3H3+       39       1    3    0    3    0    0    0    0    0    0    0    0    0    0
C5N+          74       1    0    0    5    1    0    0    0    0    0    0    0    0    0
CH3O2+        47       1    3    0    1    0    2    0    0    0    0    0    0    0    0
CH2NH2+       30       1    4    0    1    1    0    0    0    0    0    0    0    0    0
CH3OH+        32       1    4    0    1    0    1    0    0    0    0    0    0    0    0
H2C3O+        54       1    2    0    3    0    1    0    0    0    0    0    0    0    0
HC2NCH+       52       1    2    0    3    1    0    0    0    0    0    0    0    0    0
HC4O+         65       1    1    0    4    0    1    0    0    0    0    0    0    0    0
NH2CNH+       43       1    3    0    1    2    0    0    0    0    0    0    0    0    0
PC2H3+        58       1    3    0    2    0    0    0    0    0    0    0    0    1    0
PC4H+         80       1    1    0    4    0    0    0    0    0    0    0    0    1    0
PCH4+         47       1    4    0    1    0    0    0    0    0    0    0    0    1    0
SiC2H3+       55       1    3    0    2    0    0    1    0    0    0    0    0    0    0
SiC3H2+       66       1    2    0    3    0    0    1    0    0    0    0    0    0    0
SiC4H+        77       1    1    0    4    0    0    1    0    0    0    0    0    0    0
SiCH4+        44       1    4    0    1    0    0    1    0    0    0    0    0    0    0
SiH5+         33       1    5    0    0    0    0    1    0    0    0    0    0    0    0
C7+           84       1    0    0    7    0    0    0    0    0    0    0    0    0    0
H2C4N+        64       1    2    0    4    1    0    0    0    0    0    0    0    0    0
C6H-          73      -1    1    0    6    0    0    0    0    0    0    0    0    0    0
C7-           84      -1    0    0    7    0    0    0    0    0    0    0    0    0    0
C4H3+         51       1    3    0    4    0    0    0    0    0    0    0    0    0    0
C5H2+         62       1    2    0    5    0    0    0    0    0    0    0    0    0    0
